book_id,book_title,library_final,collection,req_no,part,old_page_count,pan_dir_id_status,bucket,webp_status,webp_prefix,source_url,source_root,source_relative_path,author
fuji-RB00001445,温疫論翼訣 2巻 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,オ/45,,3,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001445/,,fujikawa,fujikawa/fuji-RB00001445,百々俊徳口授・百々綯(一郎)筆記
fuji-RB00001453,温泉考 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,オ/52,,2,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001453/,,fujikawa,fujikawa/fuji-RB00001453,原南陽(昌克)著
fuji-RB00001502,晦息窩黴瘡方録 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,カ/29,,6,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001502/,,fujikawa,fujikawa/fuji-RB00001502,菅井良達(時)著
fuji-RB00001504,晦息窩婦人方録 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,カ/31,,3,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001504/,,fujikawa,fujikawa/fuji-RB00001504,菅井良達(時)著
fuji-RB00001524,(新版)懐中重宝妙薬集 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,カ/52,,4,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001524/,,fujikawa,fujikawa/fuji-RB00001524,
fuji-RB00001526,蛔虫論 1巻 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,カ/312,,4,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001526/,,fujikawa,fujikawa/fuji-RB00001526,浅井贇(樺園)著
fuji-RB00001561,鶴蝨考 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,カ/92,,6,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001561/,,fujikawa,fujikawa/fuji-RB00001561,森立之(枳園)著
fuji-RB00001601,脚気新論 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,カ/126,,5,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001601/,,fujikawa,fujikawa/fuji-RB00001601,今村了庵(亮)著
fuji-RB00001643,家伝秘蔵膏薬方 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,カ/167,,2,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001643/,,fujikawa,fujikawa/fuji-RB00001643,
fuji-RB00001668,遐齢小児方 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,カ/188,,1,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001668/,,fujikawa,fujikawa/fuji-RB00001668,曲直瀬道三(正慶)著
fuji-RB00001735,丸散方考 1巻 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,カ/325,,4,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001735/,,fujikawa,fujikawa/fuji-RB00001735,華岡青洲(震)著
fuji-RB00001753,官制漫弁 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,カ/260,,3,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001753/,,fujikawa,fujikawa/fuji-RB00001753,小磯元徳著
fuji-RB00001761,疳虫集 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,カ/264,,2,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001761/,,fujikawa,fujikawa/fuji-RB00001761,
fuji-RB00001791,眼目養生之次第 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,カ/283,,2,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001791/,,fujikawa,fujikawa/fuji-RB00001791,
fuji-RB00001795,漢洋病名対照表 2巻 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,カ/286,,4,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001795/,,fujikawa,fujikawa/fuji-RB00001795,落合泰蔵編
fuji-RB00001801,眼目療性之次第 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,カ/330,,6,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001801/,,fujikawa,fujikawa/fuji-RB00001801,
fuji-RB00001811,夔菴存蒿 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,キ/1,,1,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001811/,,fujikawa,fujikawa/fuji-RB00001811,
fuji-RB00001818,気海観瀾 1巻 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,キ/233,,1,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001818/,,fujikawa,fujikawa/fuji-RB00001818,青地林宗(盈)著
fuji-RB00001837,宜子医案 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,キ/20,,1,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001837/,,fujikawa,fujikawa/fuji-RB00001837,宮崎立伯著
